"No.,""Time"",""Source"",""Destination"",""Protocol"",""Length"",""Info"""
"17,""0.078859"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=181 Win=836 Len=0 TSval=4027798561 TSecr=14549392"""
"18,""0.257268"",""192.168.1.241"",""195.154.199.173"",""ICMP"",""98"",""Echo (ping) request  id=0x1149, seq=3/768, ttl=64 (reply in 19)"""
"19,""0.312232"",""195.154.199.173"",""192.168.1.241"",""ICMP"",""98"",""Echo (ping) reply    id=0x1149, seq=3/768, ttl=45 (request in 18)"""
"20,""0.009391"",""fe80::ee1a:59ff:fe79:f489"",""ff02::1:ff79:f489"",""ICMPv6"",""86"",""Multicast Listener Report"""
"21,""0.231358"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"22,""0.215209"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=271 Win=836 Len=0 TSval=4027798817 TSecr=14549495"""
"23,""0.163941"",""fe80::725a:fff:fee4:9bc0"",""ff05::c"",""ICMPv6"",""86"",""Multicast Listener Report"""
"24,""0.370861"",""fe80::ee1a:59ff:fe79:f489"",""ff02::2"",""ICMPv6"",""86"",""Multicast Listener Report"""
"25,""0.164359"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"26,""0.215208"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=361 Win=836 Len=0 TSval=4027799046 TSecr=14549586"""
"27,""0.821189"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"28,""0.215212"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=451 Win=836 Len=0 TSval=4027799305 TSecr=14549690"""
"29,""0.379497"",""fe80::725a:fff:fee4:9bc0"",""ff02::fb"",""ICMPv6"",""86"",""Multicast Listener Report"""
"30,""0.013299"",""fe80::216:6cff:feab:6b88"",""ff02::fb"",""ICMPv6"",""86"",""Multicast Listener Report"""
"31,""0.196036"",""fe80::ee1a:59ff:fe83:2811"",""ff02::1:ff83:2811"",""ICMPv6"",""86"",""Multicast Listener Report"""
"32,""0.016573"",""TpLinkTechno_51:33:ea"",""Netatmo_18:34:43"",""ARP"",""42"",""Who has 192.168.1.241? Tell 192.168.1.1"""
"33,""0.000885"",""Netatmo_18:34:43"",""TpLinkTechno_51:33:ea"",""ARP"",""42"",""192.168.1.241 is at 70:ee:50:18:34:43"""
"34,""0.202816"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"35,""0.215225"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=541 Win=836 Len=0 TSval=4027799561 TSecr=14549792"""
"36,""0.255010"",""fe80::725a:fff:fee4:9bc0"",""ff02::1:ffe4:9bc0"",""ICMPv6"",""86"",""Multicast Listener Report"""
"37,""0.293372"",""fe80::216:6cff:feab:6b88"",""ff02::c"",""ICMPv6"",""86"",""Multicast Listener Report"""
"38,""0.270407"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"39,""0.215233"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=631 Win=836 Len=0 TSval=4027799819 TSecr=14549896"""
"40,""0.020134"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""284"",""Application Data, Application Data"""
"41,""0.057763"",""fe80::72ee:50ff:fe18:3443"",""ff02::1:ffcd:c5b0"",""ICMPv6"",""86"",""Multicast Listener Report"""
"42,""0.037008"",""192.168.1.240"",""23.23.189.20"",""UDP"",""191"",""47532  >  33434 Len=149"""
"43,""0.120446"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=849 Win=836 Len=0 TSval=4027799878 TSecr=14549920"""
"44,""0.221194"",""192.168.1.241"",""52.8.186.218"",""UDPENCAP"",""43"",""NAT-keepalive"""
"45,""0.071206"",""fe80::ee1a:59ff:fe79:f489"",""ff02::1:ff00:0"",""ICMPv6"",""86"",""Multicast Listener Report"""
"46,""0.051648"",""89.30.121.13"",""192.168.1.166"",""TCP"",""66"",""[TCP Keep-Alive] 1935  >  47747 [ACK] Seq=0 Ack=2 Win=317 Len=0 TSval=2336735920 TSecr=262243707"""
"47,""0.000256"",""192.168.1.166"",""89.30.121.13"",""TCP"",""66"",""[TCP Previous segment not captured] 47747  >  1935 [ACK] Seq=2 Ack=1 Win=5816 Len=0 TSval=262244736 TSecr=2336733937"""
"48,""0.059082"",""fe80::ee1a:59ff:fe83:2811"",""ff02::1:ff00:0"",""ICMPv6"",""86"",""Multicast Listener Report"""
"49,""0.115498"",""fe80::725a:fff:fee4:9bc0"",""ff02::1:3"",""ICMPv6"",""86"",""Multicast Listener Report"""
"50,""0.060425"",""192.168.1.249"",""224.0.0.251"",""IGMPv2"",""46"",""Membership Report group 224.0.0.251"""
"51,""0.010312"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"52,""0.144724"",""52.8.186.218"",""192.168.1.241"",""UDPENCAP"",""43"",""NAT-keepalive"""
"53,""0.070527"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=939 Win=836 Len=0 TSval=4027800079 TSecr=14550000"""
"54,""0.126697"",""fe80::e276:d0ff:fe33:bb85"",""ff02::1:ff33:bb85"",""ICMPv6"",""86"",""Multicast Listener Report"""
"55,""0.326701"",""192.168.1.249"",""52.8.89.254"",""TCP"",""188"",""34846  >  5222 [PSH, ACK] Seq=1 Ack=1 Win=6072 Len=122 TSval=37988143 TSecr=182664968 [TCP PDU reassembled in 1760]"""
"56,""0.027134"",""fe80::725a:fff:fee4:9bc0"",""ff02::1:ff00:ee2"",""ICMPv6"",""86"",""Multicast Listener Report"""
"57,""0.135981"",""52.8.89.254"",""192.168.1.249"",""TCP"",""204"",""5222  >  34846 [PSH, ACK] Seq=1 Ack=123 Win=95 Len=138 TSval=182672476 TSecr=37988143 [TCP PDU reassembled in 2335]"""
"58,""0.002305"",""192.168.1.249"",""52.8.89.254"",""TCP"",""66"",""34846  >  5222 [ACK] Seq=123 Ack=139 Win=6072 Len=0 TSval=37988160 TSecr=182672476"""
"59,""0.175344"",""fe80::216:6cff:feab:6b88"",""ff02::1:ffab:6b88"",""ICMPv6"",""86"",""Multicast Listener Report"""
"60,""0.017126"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"61,""0.215388"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1029 Win=836 Len=0 TSval=4027800336 TSecr=14550103"""
"62,""0.579193"",""192.168.1.166"",""89.30.121.13"",""TCP"",""66"",""[TCP Keep-Alive] 47747  >  1935 [ACK] Seq=1 Ack=1 Win=5816 Len=0 TSval=262244943 TSecr=2336733937"""
"63,""0.241730"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"64,""0.033568"",""89.30.121.13"",""192.168.1.166"",""TCP"",""66"",""[TCP Keep-Alive ACK] 1935  >  47747 [ACK] Seq=1 Ack=2 Win=317 Len=0 TSval=2336736505 TSecr=262244736"""
"65,""0.181624"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1119 Win=836 Len=0 TSval=4027800595 TSecr=14550205"""
"66,""0.822211"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"67,""0.215205"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1209 Win=836 Len=0 TSval=4027800854 TSecr=14550310"""
"68,""0.731465"",""192.168.1.196"",""54.210.202.2"",""TCP"",""60"",""[TCP Keep-Alive] 2173  >  443 [ACK] Seq=1 Ack=1 Win=3072 Len=1"""
"69,""0.076850"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"70,""0.139146"",""54.210.202.2"",""192.168.1.196"",""TCP"",""54"",""[TCP Keep-Alive ACK] 443  >  2173 [ACK] Seq=1 Ack=2 Win=19832 Len=0"""
"71,""0.076053"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1299 Win=836 Len=0 TSval=4027801110 TSecr=14550412"""
"72,""0.703670"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"73,""0.215458"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1389 Win=836 Len=0 TSval=4027801340 TSecr=14550504"""
"74,""0.573990"",""TpLinkTechno_51:33:ea"",""SamsungElect_ab:6b:88"",""ARP"",""42"",""Who has 192.168.1.249? Tell 192.168.1.1"""
"75,""0.001032"",""SamsungElect_ab:6b:88"",""TpLinkTechno_51:33:ea"",""ARP"",""42"",""192.168.1.249 is at 00:16:6c:ab:6b:88"""
"76,""0.243319"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"77,""0.215238"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1479 Win=836 Len=0 TSval=4027801598 TSecr=14550608"""
"78,""0.139367"",""192.168.1.241"",""52.8.186.218"",""ESP"",""174"",""ESP (SPI=0xceea2bcc)"""
"79,""0.158951"",""52.8.186.218"",""192.168.1.241"",""ESP"",""174"",""ESP (SPI=0xcebe363b)"""
"80,""0.573773"",""192.168.1.106"",""52.87.241.159"",""TLSv1"",""156"",""Application Data, Application Data"""
"81,""0.215243"",""52.87.241.159"",""192.168.1.106"",""TCP"",""66"",""443  >  60757 [ACK] Seq=1 Ack=1569 Win=836 Len=0 TSval=4027801870 TSecr=14550714"""













































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































